,Rota,Lat,Long
0,1,-23.455000000000002,-46.522999999999996
1,1,-23.605,-46.473
2,1,-23.645000000000003,-46.583
3,1,-23.475,-46.473
4,1,-23.635,-46.573
5,1,-23.495,-46.433
6,2,-23.645000000000003,-46.522999999999996
7,2,-23.645000000000003,-46.543
8,2,-23.655,-46.503
9,2,-23.645000000000003,-46.452999999999996
10,2,-23.505000000000003,-46.503
11,2,-23.505000000000003,-46.503
12,2,-23.635,-46.532999999999994
13,2,-23.435000000000002,-46.503
14,2,-23.685000000000002,-46.532999999999994
15,2,-23.565,-46.473
16,3,-23.615000000000002,-46.653
17,3,-23.615000000000002,-46.513
18,3,-23.585,-46.503
19,3,-23.605,-46.562999999999995
20,3,-23.615000000000002,-46.492999999999995
21,3,-23.595000000000002,-46.553
22,3,-23.635,-46.553
23,3,-23.625,-46.522999999999996
24,3,-23.625,-46.543
25,3,-23.425,-46.513
26,4,-23.655,-46.513
27,4,-23.435000000000002,-46.492999999999995
28,4,-23.435000000000002,-46.513
29,4,-23.615000000000002,-46.613
30,4,-23.415000000000003,-46.503
31,4,-23.585,-46.553
32,4,-23.435000000000002,-46.492999999999995
33,4,-23.615000000000002,-46.613
34,4,-20.355,-54.553
35,4,-23.485000000000003,-46.433
36,5,-23.615000000000002,-46.492999999999995
37,5,-23.405,-46.532999999999994
38,5,-23.645000000000003,-46.452999999999996
39,5,-23.605,-46.532999999999994
40,5,-23.605,-46.532999999999994
41,5,-23.585,-46.553
42,5,-23.645000000000003,-46.642999999999994
43,5,-23.445,-46.522999999999996
44,5,-23.635,-46.663
45,6,-23.655,-46.513
46,6,-23.505000000000003,-46.483
47,6,-23.655,-46.403
48,6,-23.465,-46.382999999999996
49,6,-23.525000000000002,-46.522999999999996
50,6,-23.455000000000002,-46.522999999999996
51,6,-23.505000000000003,-46.522999999999996
52,6,-23.505000000000003,-46.382999999999996
53,6,-23.515,-46.433
54,7,-23.525000000000002,-46.513
55,7,-23.615000000000002,-46.632999999999996
56,7,-23.515,-46.483
57,7,-23.575000000000003,-46.532999999999994
58,7,-23.615000000000002,-46.483
59,7,-23.595000000000002,-46.532999999999994
60,7,-23.615000000000002,-46.623
61,8,-23.475,-46.543
62,8,-23.535,-46.623
63,9,-23.635,-46.553
64,9,-23.645000000000003,-46.532999999999994
65,10,-23.565,-46.562999999999995
66,10,-23.575000000000003,-46.562999999999995
67,10,-23.425,-46.522999999999996
68,10,-23.655,-46.532999999999994
69,10,-23.595000000000002,-46.562999999999995
70,10,-23.635,-46.513
71,10,-23.495,-46.433
72,11,-23.575000000000003,-46.562999999999995
73,11,-23.595000000000002,-46.513
74,11,-23.595000000000002,-46.443
75,11,-23.635,-46.592999999999996
76,11,-23.645000000000003,-46.433
77,11,-23.445,-46.513
78,11,-23.485000000000003,-46.492999999999995
79,11,-23.495,-46.422999999999995
80,11,-23.685000000000002,-46.522999999999996
